"Number_of_reads_in_clusters"	1737106
"Number_of_clusters"	60330
"Number_of_superclusters"	60239
"Number_of_singlets"	262894
"Number_of_analyzed_reads"	2000000

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
1	1	28218	28218	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
2	2	27237	27237	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Putative LTR elements"	""
3	1	25533	25533	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
4	1	24748	24748	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
5	4	24037	24037	"All/repeat"	"Other"	""
6	3	22770	22770	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Putative satellites (low confidence)"	""
7	1	21662	21662	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
8	1	20859	20859	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
9	1	19765	19765	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
10	7	19663	19663	"All"	"Other"	""
11	1	19485	19485	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
12	1	19472	19472	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
13	6	18315	18315	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
14	5	18077	18077	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
15	17	18052	18052	"All"	"Other"	""
16	11	16970	16970	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
17	10	16817	16817	"All"	"Other"	""
18	5	16524	16524	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
19	3	16228	16228	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
20	6	15795	15795	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
21	12	15776	15776	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
22	1	15726	15726	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
23	12	15700	15700	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
24	2	15538	15538	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
25	2	15369	15369	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
26	2	15126	15126	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
27	21	15068	15068	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Other"	""
28	1	14888	14888	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
29	9	14492	14492	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
