"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
1	177948	"Athila"	"                                                | nhits | proportion |                                                  features
--------------------------------------------------------------------------------------------------------------------------------
All                                             | 2307  | 0.013      |                                                          
 |--organelle                                   | 16    | 9e-05      |                                                          
 |   |--plastid                                 | 10    | 5.6e-05    |                                                          
 |   '--mitochondria                            | 6     | 3.4e-05    |                                                          
 '--repeat                                      | 2291  | 0.013      |                                                          
     '--mobile_element                          | 2291  | 0.013      |                                                          
         |--Class_I                             | 2290  | 0.013      |                                                          
         |   '--LTR                             | 2290  | 0.013      | LTR/PBS                                                  
         |       |--Ty1_copia                   | 7     | 3.9e-05    |                                                          
         |       |   |--Angela                  | 6     | 3.4e-05    | 2 (Ty1-GAG), 2 (Ty1-RH), 2 (Ty1-RT),                     
         |       |   '--Ikeros                  | 1     | 5.6e-06    | 1 (Ty1-INT),                                             
         |       '--Ty3_gypsy                   | 2283  | 0.013      |                                                          
         |           |--non-chromovirus         | 2281  | 0.013      |                                                          
         |           |   '--OTA                 | 2281  | 0.013      |                                                          
         |           |       |--Athila          | 2277  | 0.013      | 1740 (Ty3-GAG), 4 (Ty3-INT), 532 (Ty3-PROT), 1 (Ty3-RT), 
         |           |       '--Tat             | 4     | 2.2e-05    |                                                          
         |           |           '--Retand      | 4     | 2.2e-05    | 1 (Ty3-GAG), 2 (Ty3-INT), 1 (Ty3-RT),                    
         |           '--chromovirus             | 2     | 1.1e-05    |                                                          
         |               '--CRM                 | 2     | 1.1e-05    | 1 (Ty3-INT), 1 (Ty3-RH),                                 
         '--Class_II                            | 1     | 5.6e-06    |                                                          
             '--Subclass_1                      | 1     | 5.6e-06    |                                                          
                 '--TIR                         | 1     | 5.6e-06    |                                                          
                     '--PIF_Harbinger           | 1     | 5.6e-06    | 1 (Harbinger-TPase),                                     "	NA	"8,9,18,23,34,42,48,51,119,176,5,12,24"
2	174577	"Angela"	"                                                | nhits | proportion |                                                                          features
--------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 35523 | 0.2        |                                                                                  
 |--organelle                                   | 7     | 4e-05      |                                                                                  
 |   |--plastid                                 | 5     | 2.9e-05    |                                                                                  
 |   '--mitochondria                            | 2     | 1.2e-05    |                                                                                  
 '--repeat                                      | 35516 | 0.2        |                                                                                  
     |--rDNA                                    | 1     | 5.7e-06    |                                                                                  
     |   '--45S_rDNA                            | 1     | 5.7e-06    |                                                                                  
     |       '--25S_rDNA                        | 1     | 5.7e-06    |                                                                                  
     '--mobile_element                          | 35515 | 0.2        |                                                                                  
         |--Class_I                             | 35514 | 0.2        |                                                                                  
         |   '--LTR                             | 35514 | 0.2        | LTR/PBS                                                                          
         |       |--Ty1_copia                   | 35475 | 0.2        |                                                                                  
         |       |   |--Ale                     | 15    | 8.6e-05    | 15 (Ty1-RT),                                                                     
         |       |   |--Angela                  | 35418 | 0.2        | 4350 (Ty1-GAG), 10823 (Ty1-INT), 3692 (Ty1-PROT), 4149 (Ty1-RH), 12404 (Ty1-RT), 
         |       |   |--Ikeros                  | 34    | 2e-04      | 2 (Ty1-INT), 32 (Ty1-RT),                                                        
         |       |   |--Ivana                   | 2     | 1.2e-05    | 2 (Ty1-INT),                                                                     
         |       |   |--SIRE                    | 1     | 5.7e-06    | 1 (Ty1-INT),                                                                     
         |       |   '--TAR                     | 5     | 2.9e-05    | 5 (Ty1-RT),                                                                      
         |       '--Ty3_gypsy                   | 39    | 0.00022    |                                                                                  
         |           |--non-chromovirus         | 7     | 4e-05      |                                                                                  
         |           |   '--OTA                 | 7     | 4e-05      |                                                                                  
         |           |       |--Athila          | 3     | 1.7e-05    | 1 (Ty3-INT), 2 (Ty3-RT),                                                         
         |           |       '--Tat             | 4     | 2.3e-05    |                                                                                  
         |           |           '--Retand      | 4     | 2.3e-05    | 2 (Ty3-aRH), 1 (Ty3-INT), 1 (Ty3-RH),                                            
         |           '--chromovirus             | 32    | 0.00018    |                                                                                  
         |               |--CRM                 | 25    | 0.00014    | 25 (Ty3-INT),                                                                    
         |               |--Galadriel           | 1     | 5.7e-06    | 1 (Ty3-INT),                                                                     
         |               |--Tekay               | 3     | 1.7e-05    | 2 (Ty3-INT), 1 (Ty3-RT),                                                         
         |               '--Reina               | 3     | 1.7e-05    | 2 (Ty3-INT), 1 (Ty3-RT),                                                         
         '--Class_II                            | 1     | 5.7e-06    |                                                                                  
             '--Subclass_1                      | 1     | 5.7e-06    |                                                                                  
                 '--TIR                         | 1     | 5.7e-06    |                                                                                  
                     '--EnSpm_CACTA             | 1     | 5.7e-06    | 1 (CACTA-TPase),                                                                 "	NA	"3,15,19,22,26,35,67,184,1,4,7"
3	142593	"Athila"	"                                                | nhits | proportion |                                                                        features
------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 17065 | 0.12       |                                                                                
 |--organelle                                   | 41    | 0.00029    |                                                                                
 |   |--plastid                                 | 3     | 2.1e-05    |                                                                                
 |   '--mitochondria                            | 38    | 0.00027    |                                                                                
 '--repeat                                      | 17024 | 0.12       |                                                                                
     |--rDNA                                    | 1     | 7e-06      |                                                                                
     |   '--45S_rDNA                            | 1     | 7e-06      |                                                                                
     |       '--18S_rDNA                        | 1     | 7e-06      |                                                                                
     '--mobile_element                          | 17023 | 0.12       |                                                                                
         |--Class_I                             | 17019 | 0.12       |                                                                                
         |   |--LTR                             | 17018 | 0.12       | LTR/PBS                                                                        
         |   |   |--Ty1_copia                   | 9     | 6.3e-05    |                                                                                
         |   |   |   |--Ale                     | 1     | 7e-06      | 1 (Ty1-GAG),                                                                   
         |   |   |   |--Angela                  | 1     | 7e-06      | 1 (Ty1-RT),                                                                    
         |   |   |   '--TAR                     | 7     | 4.9e-05    | 7 (Ty1-INT),                                                                   
         |   |   '--Ty3_gypsy                   | 17009 | 0.12       |                                                                                
         |   |       |--non-chromovirus         | 17006 | 0.12       |                                                                                
         |   |       |   '--OTA                 | 17006 | 0.12       |                                                                                
         |   |       |       |--Athila          | 16951 | 0.12       | 2567 (Ty3-GAG), 5593 (Ty3-INT), 2326 (Ty3-PROT), 2620 (Ty3-RH), 3845 (Ty3-RT), 
         |   |       |       '--Tat             | 55    | 0.00039    |                                                                                
         |   |       |           |--Ogre        | 12    | 8.4e-05    | 12 (Ty3-GAG),                                                                  
         |   |       |           '--Retand      | 43    | 3e-04      | 42 (Ty3-GAG), 1 (Ty3-RT),                                                      
         |   |       '--chromovirus             | 3     | 2.1e-05    |                                                                                
         |   |           |--CRM                 | 1     | 7e-06      | 1 (Ty3-PROT),                                                                  
         |   |           '--Tekay               | 2     | 1.4e-05    | 2 (Ty3-RH),                                                                    
         |   '--LINE                            | 1     | 7e-06      | 1 (LINE-RT),                                                                   
         '--Class_II                            | 4     | 2.8e-05    |                                                                                
             '--Subclass_1                      | 4     | 2.8e-05    |                                                                                
                 '--TIR                         | 4     | 2.8e-05    |                                                                                
                     |--EnSpm_CACTA             | 1     | 7e-06      | 1 (CACTA-TPase),                                                               
                     '--MuDR_Mutator            | 3     | 2.1e-05    | 3 (MuDR-TPase),                                                                "	NA	"28,33,46,54,62,64,68,74,91,123,141,20,27,37"
4	102434	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 32    | 0.00031    |              
 |--organelle                                   | 25    | 0.00024    |              
 |   |--plastid                                 | 2     | 2e-05      |              
 |   '--mitochondria                            | 23    | 0.00022    |              
 '--repeat                                      | 7     | 6.8e-05    |              
     '--mobile_element                          | 7     | 6.8e-05    |              
         '--Class_I                             | 7     | 6.8e-05    |              
             '--LTR                             | 7     | 6.8e-05    |              
                 |--Ty1_copia                   | 2     | 2e-05      |              
                 |   |--Ale                     | 1     | 9.8e-06    | 1 (Ty1-RH),  
                 |   '--Angela                  | 1     | 9.8e-06    | 1 (Ty1-INT), 
                 '--Ty3_gypsy                   | 5     | 4.9e-05    |              
                     |--non-chromovirus         | 3     | 2.9e-05    |              
                     |   '--OTA                 | 3     | 2.9e-05    |              
                     |       |--Athila          | 2     | 2e-05      | 2 (Ty3-INT), 
                     |       '--Tat             | 1     | 9.8e-06    |              
                     |           '--Retand      | 1     | 9.8e-06    | 1 (Ty3-RH),  
                     '--chromovirus             | 2     | 2e-05      |              
                         |--Tekay               | 1     | 9.8e-06    | 1 (Ty3-CHD), 
                         '--Reina               | 1     | 9.8e-06    | 1 (Ty3-INT), "	NA	"32,36,75,89,115,149,183,10,13,30"
5	60869	"Tekay"	"                                                | nhits | proportion |                                                                                   features
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 3154  | 0.052      |                                                                                           
 |--organelle                                   | 131   | 0.0022     |                                                                                           
 |   '--plastid                                 | 131   | 0.0022     |                                                                                           
 '--repeat                                      | 3023  | 0.05       |                                                                                           
     '--mobile_element                          | 3023  | 0.05       |                                                                                           
         '--Class_I                             | 3023  | 0.05       |                                                                                           
             |--LTR                             | 3022  | 0.05       | LTR/PBS                                                                                   
             |   '--Ty3_gypsy                   | 3022  | 0.05       |                                                                                           
             |       |--non-chromovirus         | 1     | 1.6e-05    |                                                                                           
             |       |   '--OTA                 | 1     | 1.6e-05    |                                                                                           
             |       |       '--Athila          | 1     | 1.6e-05    | 1 (Ty3-RH),                                                                               
             |       '--chromovirus             | 3021  | 0.05       |                                                                                           
             |           |--Chlamyvir           | 15    | 0.00025    | 15 (Ty3-RT),                                                                              
             |           |--CRM                 | 7     | 0.00012    | 5 (Ty3-INT), 1 (Ty3-PROT), 1 (Ty3-RT),                                                    
             |           |--Tekay               | 2998  | 0.049      | 241 (Ty3-CHD), 290 (Ty3-GAG), 1116 (Ty3-INT), 149 (Ty3-PROT), 535 (Ty3-RH), 667 (Ty3-RT), 
             |           '--Reina               | 1     | 1.6e-05    | 1 (Ty3-GAG),                                                                              
             '--pararetrovirus                  | 1     | 1.6e-05    | 1 (PARA-RT),                                                                              "	NA	"47,56,73,84,92,153,31"
6	59553	"Retand"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 2385  | 0.04       |                                             
 |--organelle                                   | 274   | 0.0046     |                                             
 |   |--plastid                                 | 272   | 0.0046     |                                             
 |   '--mitochondria                            | 2     | 3.4e-05    |                                             
 '--repeat                                      | 2111  | 0.035      |                                             
     '--mobile_element                          | 2111  | 0.035      |                                             
         '--Class_I                             | 2111  | 0.035      |                                             
             |--LTR                             | 2108  | 0.035      | LTR/PBS                                     
             |   |--Ty1_copia                   | 7     | 0.00012    |                                             
             |   |   |--Angela                  | 1     | 1.7e-05    | 1 (Ty1-INT),                                
             |   |   |--Ikeros                  | 1     | 1.7e-05    | 1 (Ty1-RT),                                 
             |   |   |--SIRE                    | 1     | 1.7e-05    | 1 (Ty1-RT),                                 
             |   |   '--Tork                    | 4     | 6.7e-05    | 4 (Ty1-INT),                                
             |   '--Ty3_gypsy                   | 2101  | 0.035      |                                             
             |       |--non-chromovirus         | 2100  | 0.035      |                                             
             |       |   '--OTA                 | 2100  | 0.035      |                                             
             |       |       |--Athila          | 165   | 0.0028     | 165 (Ty3-GAG),                              
             |       |       '--Tat             | 1935  | 0.032      |                                             
             |       |           |--Ogre        | 5     | 8.4e-05    | 3 (Ty3-GAG), 1 (Ty3-PROT), 1 (Ty3-RT),      
             |       |           '--Retand      | 1930  | 0.032      | 894 (Ty3-GAG), 1034 (Ty3-PROT), 2 (Ty3-RT), 
             |       '--chromovirus             | 1     | 1.7e-05    |                                             
             |           '--Reina               | 1     | 1.7e-05    | 1 (Ty3-INT),                                
             '--LINE                            | 3     | 5e-05      | 2 (LINE-ENDO), 1 (LINE-RT),                 "	NA	"39,61,70,29,21"
7	49405	"repeat"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 20315 | 0.41       |                    
 |--organelle                                   | 4     | 8.1e-05    |                    
 |   |--plastid                                 | 2     | 4e-05      |                    
 |   '--mitochondria                            | 2     | 4e-05      |                    
 '--repeat                                      | 20311 | 0.41       |                    
     |--satellite                               | 20305 | 0.41       |                    
     '--mobile_element                          | 6     | 0.00012    |                    
         |--Class_I                             | 4     | 8.1e-05    |                    
         |   |--LTR                             | 3     | 6.1e-05    |                    
         |   |   '--Ty1_copia                   | 3     | 6.1e-05    |                    
         |   |       '--Angela                  | 3     | 6.1e-05    | 3 (Ty1-PROT),      
         |   '--LINE                            | 1     | 2e-05      | 1 (LINE-ENDO),     
         '--Class_II                            | 2     | 4e-05      |                    
             |--Subclass_1                      | 1     | 2e-05      |                    
             |   '--TIR                         | 1     | 2e-05      |                    
             |       '--EnSpm_CACTA             | 1     | 2e-05      | 1 (CACTA-TPase),   
             '--Subclass_2                      | 1     | 2e-05      |                    
                 '--Helitron                    | 1     | 2e-05      | 1 (Helitron-HEL1), "	"6 - Putative satellites (low confidence)"	"57,81,104,108,6"
8	40227	"Tekay"	"                                                | nhits | proportion |                                                                                      features
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 9513  | 0.24       |                                                                                              
 |--organelle                                   | 3     | 7.5e-05    |                                                                                              
 |   '--mitochondria                            | 3     | 7.5e-05    |                                                                                              
 '--repeat                                      | 9510  | 0.24       |                                                                                              
     '--mobile_element                          | 9510  | 0.24       |                                                                                              
         '--Class_I                             | 9510  | 0.24       |                                                                                              
             |--LTR                             | 9508  | 0.24       | LTR/PBS                                                                                      
             |   |--Ty1_copia                   | 5     | 0.00012    |                                                                                              
             |   |   |--Angela                  | 4     | 9.9e-05    | 1 (Ty1-INT), 3 (Ty1-RT),                                                                     
             |   |   '--Tork                    | 1     | 2.5e-05    | 1 (Ty1-RT),                                                                                  
             |   '--Ty3_gypsy                   | 9503  | 0.24       |                                                                                              
             |       |--non-chromovirus         | 1     | 2.5e-05    |                                                                                              
             |       |   '--OTA                 | 1     | 2.5e-05    |                                                                                              
             |       |       '--Tat             | 1     | 2.5e-05    |                                                                                              
             |       |           '--Retand      | 1     | 2.5e-05    | 1 (Ty3-RH),                                                                                  
             |       '--chromovirus             | 9502  | 0.24       |                                                                                              
             |           |--Chlamyvir           | 1     | 2.5e-05    | 1 (Ty3-RT),                                                                                  
             |           |--Tcn1                | 46    | 0.0011     | 46 (Ty3-RT),                                                                                 
             |           |--CRM                 | 1     | 2.5e-05    | 1 (Ty3-RT),                                                                                  
             |           '--Tekay               | 9454  | 0.24       | 739 (Ty3-CHD), 1050 (Ty3-GAG), 3560 (Ty3-INT), 637 (Ty3-PROT), 1346 (Ty3-RH), 2122 (Ty3-RT), 
             '--LINE                            | 2     | 5e-05      | 2 (LINE-RT),                                                                                 "	NA	"59,66,71,168,50"
9	39735	"Tekay"	"                                                | nhits | proportion |                                                                                  features
----------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 2584  | 0.065      |                                                                                          
 '--repeat                                      | 2584  | 0.065      |                                                                                          
     '--mobile_element                          | 2584  | 0.065      |                                                                                          
         |--Class_I                             | 2583  | 0.065      |                                                                                          
         |   '--LTR                             | 2583  | 0.065      | LTR/PBS                                                                                  
         |       |--Ty1_copia                   | 1     | 2.5e-05    |                                                                                          
         |       |   '--SIRE                    | 1     | 2.5e-05    | 1 (Ty1-INT),                                                                             
         |       '--Ty3_gypsy                   | 2582  | 0.065      |                                                                                          
         |           |--non-chromovirus         | 5     | 0.00013    |                                                                                          
         |           |   |--Selgy               | 2     | 5e-05      | 1 (Ty3-PROT), 1 (Ty3-RT),                                                                
         |           |   '--OTA                 | 3     | 7.6e-05    |                                                                                          
         |           |       |--Athila          | 2     | 5e-05      | 2 (Ty3-RH),                                                                              
         |           |       '--Tat             | 1     | 2.5e-05    |                                                                                          
         |           |           '--Retand      | 1     | 2.5e-05    | 1 (Ty3-INT),                                                                             
         |           '--chromovirus             | 2577  | 0.065      |                                                                                          
         |               |--Chlamyvir           | 45    | 0.0011     | 45 (Ty3-RT),                                                                             
         |               |--Tcn1                | 37    | 0.00093    | 1 (Ty3-INT), 36 (Ty3-RT),                                                                
         |               |--CRM                 | 50    | 0.0013     | 19 (Ty3-GAG), 1 (Ty3-INT), 3 (Ty3-RH), 27 (Ty3-RT),                                      
         |               |--Galadriel           | 7     | 0.00018    | 7 (Ty3-RT),                                                                              
         |               |--Tekay               | 2421  | 0.061      | 242 (Ty3-CHD), 181 (Ty3-GAG), 1056 (Ty3-INT), 57 (Ty3-PROT), 451 (Ty3-RH), 434 (Ty3-RT), 
         |               |--Reina               | 14    | 0.00035    | 2 (Ty3-GAG), 1 (Ty3-INT), 11 (Ty3-RT),                                                   
         |               '--chromo-unclass      | 3     | 7.6e-05    | 3 (Ty3-RT),                                                                              
         '--Class_II                            | 1     | 2.5e-05    |                                                                                          
             '--Subclass_1                      | 1     | 2.5e-05    |                                                                                          
                 '--TIR                         | 1     | 2.5e-05    |                                                                                          
                     '--EnSpm_CACTA             | 1     | 2.5e-05    | 1 (CACTA-TPase),                                                                         "	NA	"43,188,11,79"
10	34838	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 7     | 2e-04      |              
 |--organelle                                   | 3     | 8.6e-05    |              
 |   |--plastid                                 | 1     | 2.9e-05    |              
 |   '--mitochondria                            | 2     | 5.7e-05    |              
 '--repeat                                      | 4     | 0.00011    |              
     |--rDNA                                    | 1     | 2.9e-05    |              
     |   '--45S_rDNA                            | 1     | 2.9e-05    |              
     |       '--18S_rDNA                        | 1     | 2.9e-05    |              
     '--mobile_element                          | 3     | 8.6e-05    |              
         '--Class_I                             | 3     | 8.6e-05    |              
             '--LTR                             | 3     | 8.6e-05    |              
                 '--Ty3_gypsy                   | 3     | 8.6e-05    |              
                     |--non-chromovirus         | 1     | 2.9e-05    |              
                     |   '--OTA                 | 1     | 2.9e-05    |              
                     |       '--Athila          | 1     | 2.9e-05    | 1 (Ty3-INT), 
                     '--chromovirus             | 2     | 5.7e-05    |              
                         '--CRM                 | 2     | 5.7e-05    | 2 (Ty3-RT),  "	NA	"78,112,126,14"
