KP1,Pseudoroegneria spicata PI 578855 диплоид,,,,
KP2,Pseudoroegneria spicata PI 236671 2 диплоид,,,,
KP3,Pseudoroegneria libanotica PI 330690 диплоид,,,,
KP4,Pseudoroegneria libanotica PI 222959 диплоид,,,,
KP5,Pseudoroegneria libanotica PI 228389 диплоид,,,,
KP6,Pseudoroegneria kosaninii PI 237636 октаплоид,,,,
KP7,Pseudoroegneria cognata PI 670361 диплоид,,,,
KP8,Pseudoroegneria geniculata PI 670437 тетраплоид,,,,
KP9,Pseudoroegneria geniculata PI 565009 тетраплоид,,,,
KP10,Pseudoroegneria tauri PI 380652 диплоид,,,,
KP11,Thinopyrum junceum PI 119604 гексаплоид,,,,
KP12,Thinopyrum junceum PI 276566 гексаплоид,,,,
KP13,Thinopyrum intermedium PI 401200 гексаплоид,,,,
KP14,Thinopyrum intermedium PI 1154 103 гексаплоид,,,,
KP15,Thinopyrum intermedium PI 249146 гексаплоид,,,,
KP16,Памяти Любимовой   октаплоид,,,,
KP17,ППГ 77 77.1.1.1 35гр октаплоид,,,,
KP18,ППГ 1514 1514.2.3 25гр октаплоид,,,,
KP19,ППГ 1664 1664.2.4 20гр октаплоид,,,,
KP20,ППГ 1665 1665.1.3 8гр октаплоид,,,,
KP21,ППГ 1626 1626.2 №6-2 40гр октаплоид,,,,
KP22,ППГ 548 548.1 №2-2 37гр октаплоид,,,,
KP23,ЗП26 ЗП26/1.1 №8-2 30гр октаплоид,,,,
KP24,ППГ 4044 4044/4.1 №8-5 50гр октаплоид,,,,
KP25,ППГ 166 166.2 №6-3 45гр октаплоид,,,,
KP26,ППГ 1872 1872.1 №10-1 15гр октаплоид,,,,
KP27,ППГ 70с 70с.1.3 30гр октаплоид,,,,
KP28,ППГ 1432 1432.1 №8-2 35гр октаплоид,,,,
KP29,ППГ 12 12.1.4 50гр октаплоид,,,,
KP30,ППГ 168 168.2 №2-1 25гр октаплоид,,,,
KP31,ППГ 1416 1416.1 №5 35 гр октаплоид,,,,
KP32,ППГ 150 150.2 красн. №9.2 35гр октаплоид,,,,
KP33,ППГ 1512 1512.1 №5-1 25гр октаплоид,,,,
KP34,ППГ 1735 1735.1 №3-1 25гр октаплоид,,,,
KP35,ППГ 1765 1765.2 бел.красн №1-3 50гр октаплоид,,,,
KP36,ППГ 1779 1779.1 №6-1 20гр октаплоид,,,,
KP37,ППГ 1797 1797.2.3 45гр октаплоид,,,,
KP38,ППГ 1783 1783.1 №7-3 50гр октаплоид,,,,
KP39,ППГ 1865 1865.2 бел. №3-3 40гр октаплоид,,,,
KA1,Aegilops bicoris,AE577,199,1.92,2.13
KA2,Aegilops sharonesis,Собран Бадаевой,360,2.02,2.16
KA3,Aegilopsis kotschii,TA2206,151.2,1.93,2.1
KA4,Aegilops caudata markgrafii,AE1107,100.7,1.99,2.17
KA5,Aegilops caudata markgrafii,AE1224,258.6,1.99,2.1
KA6,Aegilops heldreichii,K-2432,164.2,1.98,2.26
KA7,Aegilops colunaris,TA 2084,145.7,1.98,1.85
KA8,Aegilops colunaris,PI499258,171.6,2.04,1.65
KA9,Aegilops ovata,IG 47148,287.2,2.07,2.12
KA10,Aegilops neglecta (triuncialis),K-4553/V-611337,277,2.02,2.17
KA11,Aegilops biuncialis,IG 135367,85.6,1.93,1.92
KA12,Aegilops uniaristata,K-2273,173.8,1.93,2.43
KA13,Aegilops umbellulata,K-2038,290.4,1.99,2.2
KA14,Aegilops umbellulata,AE822,148,2,2.18
KA15,Aegilops comosa,i-570306,290.1,2.03,2.15
KA16,Aegilops comosa,AE1256,133.9,1.92,1.97
KA17,Aegilops speltoides,Spel 17/3 3625-3-1,195.2,2.07,1.95
KA18,Aegilops speltoides,Spo5,76.7,1.9,1.85
KA19,Aegilops speltoides,Spol spe 349-3-1,97.8,2.11,2.2
KA20,Ambilopyrum multicum Eag. var loliaceae,AE464,115.5,2.06,2.34
KA21,Ambilopyrum multicum Eag. var multicum,AE128,110.6,2.08,2.38
KA22,Elymus barbicallus,504441,268.7,1.98,2.28
KA23,Elymus pendulinus,639804,632.4,2.03,2.35
KA24,Pseudoraegneria stipifolia,314058,501.8,2,2.36
KA25,Thinopyrum bessarabicum,531711,490.6,2.02,2.36
KA26,Thinopyrum bessarabicum,21890,185,1.93,2.16
KA27,Aegilops crassa,IG131680,320.7,2.07,2.32
KA28,Aegilops heldreichii,K-1601,126.7,1.94,2.19
KA29,Aegilops uniaristata,K-1589,85.8,1.91,2.43
V1,Thinopyrum bessarabicum,,,,
V4,Dasypyrum villosum,,,,
V5,Pseudoroegneria spicata,,,,
V7,Thinopyrum intermedium,,,,
KK1,Aegilops tauscii strangulata,T21.1,,,
KK2,Aegilops tauscii,,,,
KK3,Aegilops tauscii typica,T44.1,,,
KK4,Aegilops tauscii,T22.1,,,
KK5,Aegilops ventricosa,T38,,,
KK6,Aegilops crassa,T39.1,,,
KK7,Aegilops cylindrica,T37.3,,,
KK8,Pseudoraegneria geniculata,,,,
KK9,Thinopyrum sartorii,,,,
KK10,Elymus arizonicus,,,,
KK11,Thinopyrum caespitosum,,,,
KK12,Cannabis E3,,,,
KK13,Cannabis Zenica2,,,,
KK14,Cannabis Zenica3,,,,
KK15,Shepherdia Sh-1,,,,
KK16,Shepherdia Sh-6,,,,
KK17,Thinopyrum ponticum,,,,
KK18,Thinopyrum ponticum,,,,
KK19,Thinopyrum ponticum,,,,
KK20,Thinopyrum elongatum,,,,
KK21,Dasypyrum breviaristatum,,,,
