,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,task,db,qlength,fitting,sum_coverage,sum_lengths,source
0,KK2_CL112_TR_1_x_369nt,AY249985.1,96.931,1108,32,2,1,1107,1518,412,0.0,1857.0,megablast,ncbi_x3,1107,near-full,1.0,1107,KK2
1,KK2_CL233_TR_1_x_567nt,AB037170.1,94.444,36,2,0,1,36,36,1,4.29e-07,57.2,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
2,KK2_CL233_TR_1_x_567nt,AB037171.1,94.444,36,2,0,1,36,36,1,4.29e-07,57.2,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
3,KK2_CL233_TR_1_x_567nt,AB037173.1,92.982,57,4,0,1,57,476,420,3.14e-15,84.2,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
4,KK2_CL233_TR_1_x_567nt,AB037174.1,94.444,36,2,0,1,36,1642,1677,4.29e-07,57.2,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
5,KK2_CL233_TR_1_x_567nt,AB077234.1,91.667,36,3,0,1,36,36,1,1.82e-05,52.7,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
6,KK2_CL233_TR_1_x_567nt,AB077235.1,94.444,36,2,0,1,36,36,1,4.29e-07,57.2,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
7,KK2_CL233_TR_1_x_567nt,AB077236.1,94.444,36,2,0,1,36,36,1,4.29e-07,57.2,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
8,KK2_CL233_TR_1_x_567nt,AB077237.1,94.286,35,2,0,2,36,35,1,1.5e-06,55.4,blastn,ncbi_x3,1701,partial,0.0205761316872428,35,KK2
9,KK2_CL233_TR_1_x_567nt,AB077238.1,94.286,35,2,0,2,36,35,1,1.5e-06,55.4,blastn,ncbi_x3,1701,partial,0.0205761316872428,35,KK2
10,KK2_CL233_TR_1_x_567nt,AB077239.1,97.059,34,1,0,3,36,34,1,4.29e-07,58.1,dc-megablast,ncbi_x3,1701,partial,0.019988242210464434,34,KK2
11,KK2_CL233_TR_1_x_567nt,AB077240.1,94.444,36,2,0,1,36,36,1,4.29e-07,57.2,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
12,KK2_CL233_TR_1_x_567nt,AB077241.1,97.222,36,1,0,1,36,36,1,3.52e-08,61.7,dc-megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
13,KK2_CL233_TR_1_x_567nt,AB077242.1,91.667,36,3,0,1,36,36,1,1.82e-05,52.7,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
14,KK2_CL233_TR_1_x_567nt,AB037169.1,97.222,36,1,0,1,36,36,1,3.52e-08,61.7,dc-megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
15,KK2_CL233_TR_1_x_567nt,AB077243.1,97.222,36,1,0,1,36,36,1,1.47e-08,62.1,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
16,KK2_CL233_TR_1_x_567nt,AB077245.1,97.222,36,1,0,1,36,36,1,1.47e-08,62.1,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
17,KK2_CL233_TR_1_x_567nt,AB077246.1,97.222,36,1,0,1,36,36,1,1.47e-08,62.1,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
18,KK2_CL233_TR_1_x_567nt,AB077247.1,97.222,36,1,0,1,36,36,1,1.47e-08,62.1,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
19,KK2_CL233_TR_1_x_567nt,AB077248.1,97.222,36,1,0,1,36,36,1,1.47e-08,62.1,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
20,KK2_CL233_TR_1_x_567nt,AB077249.1,100.0,36,0,0,1,36,36,1,3.16e-10,67.6,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
21,KK2_CL233_TR_1_x_567nt,AB077250.1,100.0,36,0,0,1,36,36,1,3.16e-10,67.6,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
22,KK2_CL233_TR_1_x_567nt,AB077251.1,93.75,32,2,0,5,36,32,1,6.36e-05,50.0,blastn,ncbi_x3,1701,partial,0.0188124632569077,32,KK2
23,KK2_CL233_TR_1_x_567nt,AB077252.1,91.667,36,3,0,1,36,36,1,1.82e-05,52.7,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
24,KK2_CL233_TR_1_x_567nt,AB077253.1,91.667,36,3,0,1,36,36,1,1.82e-05,52.7,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
25,KK2_CL233_TR_1_x_567nt,AB077254.1,100.0,33,0,0,4,36,33,1,1.47e-08,62.1,megablast,ncbi_x3,1701,partial,0.019400352733686066,33,KK2
26,KK2_CL233_TR_1_x_567nt,AB077255.1,94.444,36,2,0,1,36,36,1,4.29e-07,57.2,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
27,KK2_CL233_TR_1_x_567nt,AB077256.1,97.222,36,1,0,1,36,36,1,3.52e-08,61.7,dc-megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
28,KK2_CL233_TR_1_x_567nt,AB077257.1,97.222,36,1,0,1,36,36,1,3.52e-08,61.7,dc-megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
29,KK2_CL233_TR_1_x_567nt,AB077244.1,97.222,36,1,0,1,36,36,1,1.47e-08,62.1,megablast,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
30,KK2_CL233_TR_1_x_567nt,AB037168.1,97.222,36,1,0,1,36,1534,1569,3.52e-08,61.7,blastn,ncbi_x3,1701,partial,0.021164021164021163,36,KK2
31,KK2_CL233_TR_1_x_567nt,AB016970.1,90.0,350,31,4,1355,1701,3423,3075,2.68e-125,449.0,megablast,ncbi_x3,1701,partial,0.2039976484420929,347,KK2
32,KK2_CL233_TR_1_x_567nt,AB016969.1,90.149,335,29,4,1355,1686,1677,1344,2.7e-120,433.0,megablast,ncbi_x3,1701,partial,0.1951793062904174,332,KK2
33,KK2_CL205_TR_1_x_118nt,KC290897.1,94.068,118,6,1,1,118,399,283,2.67e-45,178.0,megablast,ncbi,118,near-full,1.0,118,KK2
34,KK2_CL205_TR_1_x_118nt,KC290898.1,90.96,354,32,0,1,354,57,410,2.43e-134,477.0,megablast,ncbi_x3,354,near-full,1.0,354,KK2
35,KK2_CL205_TR_1_x_118nt,KK1_CL204_TR_1_x_118nt,94.817,328,17,0,1,328,330,3,3.4699999999999997e-147,512.0,megablast,local_x3,354,near-full,1.0,354,KK2
36,KK2_CL205_TR_1_x_118nt,KK3_CL212_TR_1_x_118nt,100.0,307,0,0,48,354,1,307,7.3e-164,568.0,megablast,local_x3,354,near-full,1.0,354,KK2
37,KK2_CL205_TR_1_x_118nt,KK6_CL172_TR_1_x_118nt,91.429,315,27,0,40,354,354,40,2.7800000000000003e-123,433.0,megablast,local_x3,354,near-full,1.0,354,KK2
38,KK2_CL205_TR_1_x_118nt,KP5KP10(max)_CL163_TR_1_x_118nt,97.399,346,9,0,1,346,346,1,3e-171,590.0,megablast,comp_x3,354,near-full,1.0,354,KK2
39,KK2_CL205_TR_1_x_118nt,KT724938.1,91.854,356,26,3,1,354,8554,8200,6.7e-140,496.0,megablast,ncbi_x3,354,near-full,0.9943502824858758,352,KK2
40,KK2_CL205_TR_1_x_118nt,ON872675.1,90.566,318,30,0,37,354,354,37,1.1500000000000001e-117,422.0,megablast,ncbi_x3,354,near-full,1.0,354,KK2
41,KK2_CL205_TR_1_x_118nt,ON872682.1,95.973,298,12,0,1,298,57,354,1.45e-136,484.0,megablast,ncbi_x3,354,near-full,1.0,354,KK2
42,KK2_CL205_TR_1_x_118nt,P351_0,96.512,86,3,0,1,86,266,351,2.01e-37,143.0,megablast,ref,118,composite,1.0,118,KK2
43,KK2_CL205_TR_1_x_118nt,pSc119_2,97.436,117,3,0,2,118,311,195,1.18e-54,200.0,megablast,ref,118,near-full,0.9915254237288136,117,KK2
44,KK2_CL218_TR_1_x_733nt,KK1_CL231_TR_1_x_730nt,97.272,1943,47,4,257,2199,2190,254,0.0,3290.0,megablast,local_x3,2199,near-full,1.0,2199,KK2
