,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,task,db,qlength,fitting,sum_coverage,sum_lengths,source
0,KA27_CL121_TR_1_x_333nt,BSCL156-2,93.103,29,2,0,8,36,1,29,3.2e-07,44.6,blastn,ref,333,partial,0.08708708708708708,29,KA27
1,KA27_CL210_TR_1_x_90nt,KC290899.1,92.62,271,7,4,1,270,433,175,1.8899999999999998e-104,377.0,megablast,ncbi_x3,270,near-full,1.0,270,KA27
2,KA27_CL210_TR_1_x_90nt,KC290900.1,90.37,270,14,5,1,270,317,574,1.91e-94,344.0,megablast,ncbi_x3,270,near-full,1.0,270,KA27
3,KA27_CL210_TR_1_x_90nt,KC290901.1,90.775,271,12,4,1,270,298,40,4.11e-96,350.0,megablast,ncbi_x3,270,near-full,1.0,270,KA27
4,KA27_CL210_TR_1_x_90nt,KC290902.1,91.912,272,8,7,1,270,259,518,1.14e-101,368.0,megablast,ncbi_x3,270,near-full,1.0,270,KA27
5,KA27_CL210_TR_1_x_90nt,KK1_CL194_TR_1_x_90nt,100.0,250,0,0,1,250,250,1,2.9000000000000005e-132,462.0,megablast,local_x3,270,near-full,1.0,270,KA27
6,KA27_CL210_TR_1_x_90nt,KK2_CL173_TR_1_x_90nt,100.0,251,0,0,1,251,20,270,8.06e-133,464.0,megablast,local_x3,270,near-full,1.0,270,KA27
7,KA27_CL210_TR_1_x_90nt,KK3_CL169_TR_1_x_90nt,100.0,245,0,0,1,245,245,1,1.7500000000000002e-129,453.0,megablast,local_x3,270,near-full,1.0,270,KA27
8,KA27_CL210_TR_1_x_90nt,KK6KA27(10to13)_CL199_TR_1_x_90nt,100.0,256,0,0,1,256,15,270,2.13e-136,473.0,megablast,comp_x3,270,near-full,1.0,270,KA27
9,KA27_CL210_TR_1_x_90nt,KK6_CL184_TR_1_x_90nt,100.0,245,0,0,1,245,245,1,1.7500000000000002e-129,453.0,megablast,local_x3,270,near-full,1.0,270,KA27
10,KA27_CL210_TR_1_x_90nt,P427,100.0,90,0,0,1,90,419,330,8.729999999999999e-45,167.0,megablast,ref,90,near-full,1.0,90,KA27
11,KA27_CL215_TR_1_x_320nt,AF087828.1,95.45,967,36,3,1,960,3175,2210,0.0,1535.0,megablast,ncbi_x3,960,near-full,1.0,960,KA27
12,KA27_CL215_TR_1_x_320nt,AF139201.1,90.25,400,38,1,284,682,4453,4054,3.13e-147,521.0,megablast,ncbi_x3,960,partial,0.6208333333333333,596,KA27
13,KA27_CL215_TR_1_x_320nt,AF139202.1,92.424,792,59,1,169,960,3359,2569,0.0,1129.0,megablast,ncbi_x3,960,near-full,0.9989583333333333,959,KA27
14,KA27_CL215_TR_1_x_320nt,KK1_CL249_TR_1_x_320nt,99.383,811,5,0,150,960,960,150,0.0,1471.0,megablast,local_x3,960,near-full,1.0,960,KA27
15,KA27_CL215_TR_1_x_320nt,KK2_CL224_TR_1_x_320nt,99.035,829,8,0,1,829,132,960,0.0,1487.0,megablast,local_x3,960,near-full,1.0,960,KA27
16,KA27_CL215_TR_1_x_320nt,KK3_CL224_TR_1_x_320nt,99.006,805,8,0,156,960,1,805,0.0,1443.0,megablast,local_x3,960,near-full,1.0,960,KA27
17,KA27_CL215_TR_1_x_320nt,KK6KA27(10to13)_CL218_TR_1_x_320nt,99.686,956,3,0,5,960,1,956,0.0,1749.0,megablast,comp_x3,960,near-full,1.0,960,KA27
18,KA27_CL215_TR_1_x_320nt,KK6_CL235_TR_1_x_320nt,98.745,956,12,0,5,960,960,5,0.0,1700.0,megablast,local_x3,960,near-full,1.0,960,KA27
19,KA27_CL215_TR_1_x_320nt,ON872668.1,97.796,862,19,0,99,960,960,99,0.0,1487.0,megablast,ncbi_x3,960,near-full,1.0,960,KA27
20,KA27_CL215_TR_1_x_320nt,P320,97.318,261,7,0,60,320,1,261,1.44e-127,444.0,megablast,ref,320,near-full,1.0,320,KA27
21,KA27_CL232_TR_1_x_145nt,KK1_CL259_TR_1_x_145nt,100.0,434,0,0,2,435,1,434,0.0,802.0,megablast,local_x3,435,near-full,1.0,435,KA27
22,KA27_CL232_TR_1_x_145nt,KK2_CL246_TR_1_x_145nt,100.0,427,0,0,1,427,427,1,0.0,789.0,megablast,local_x3,435,near-full,1.0,435,KA27
23,KA27_CL232_TR_1_x_145nt,KK3_CL247_TR_1_x_145nt,100.0,428,0,0,1,428,428,1,0.0,791.0,megablast,local_x3,435,near-full,1.0,435,KA27
24,KA27_CL232_TR_1_x_145nt,KK6KA27(10to13)_CL248_TR_1_x_146nt,98.856,437,3,2,1,435,1,437,0.0,778.0,megablast,comp_x3,435,near-full,1.0,435,KA27
25,KA27_CL210_TR_1_x_90nt,BSCL135-2,100.0,30,0,0,25,54,30,1,1.97e-11,56.5,megablast,ref,90,partial,0.3333333333333333,30,KA27
26,KA27_CL210_TR_1_x_90nt,BSCL135-1,100.0,29,0,0,62,90,31,3,7.09e-11,54.7,megablast,ref,90,partial,0.32222222222222224,29,KA27
27,KA27_CL209_TR_1_x_44nt,P132,95.455,44,2,0,1,44,53,10,2.22e-16,71.6,dc-megablast,ref,44,near-full,1.0,44,KA27
28,KA27_CL199_TR_1_x_311nt,KK3_CL195_TR_1_x_312nt,96.841,823,18,8,114,931,1,820,0.0,1369.0,megablast,local_x3,933,near-full,0.9978563772775991,931,KA27
29,KA27_CL199_TR_1_x_311nt,KK6KA27(10to13)_CL204_TR_1_x_312nt,99.748,794,0,2,140,931,1,794,0.0,1454.0,megablast,comp_x3,933,near-full,0.9978563772775991,931,KA27
30,KA27_CL199_TR_1_x_311nt,KK6_CL218_TR_1_x_322nt,96.706,850,6,2,104,931,966,117,0.0,1395.0,megablast,local_x3,933,near-full,0.9978563772775991,931,KA27
31,KA27_CL199_TR_1_x_311nt,ON872667.1,99.569,928,2,2,6,931,1,928,0.0,1690.0,megablast,ncbi_x3,933,near-full,0.9978563772775991,931,KA27
32,KA27_CL199_TR_1_x_311nt,P321,92.713,247,13,5,1,245,244,1,1.87e-98,347.0,dc-megablast,ref,311,composite,0.9935691318327974,309,KA27
33,KA27_CL202_TR_1_x_319nt,KK6KA27(10to13)_CL206_TR_1_x_319nt,100.0,948,0,0,1,948,948,1,0.0,1751.0,megablast,comp_x3,957,near-full,1.0,957,KA27
34,KA27_CL202_TR_1_x_319nt,KK6_CL216_TR_1_x_319nt,100.0,902,0,0,1,902,56,957,0.0,1666.0,megablast,local_x3,957,near-full,1.0,957,KA27
35,KA27_CL202_TR_1_x_319nt,ON872666.1,100.0,810,0,0,148,957,957,148,0.0,1496.0,megablast,ncbi_x3,957,near-full,1.0,957,KA27
36,KA27_CL204_TR_1_x_178nt,KA25_CL211_TR_1_x_179nt,94.896,529,24,3,1,526,529,1,0.0,824.0,megablast,local_x3,534,near-full,1.0,534,KA27
37,KA27_CL204_TR_1_x_178nt,KK6KA27(10to13)_CL210_TR_1_x_178nt,100.0,524,0,0,1,524,524,1,0.0,968.0,megablast,comp_x3,534,near-full,1.0,534,KA27
38,KA27_CL204_TR_1_x_178nt,KK6_CL226_TR_1_x_178nt,100.0,534,0,0,1,534,534,1,0.0,987.0,megablast,local_x3,534,near-full,1.0,534,KA27
39,KA27_CL204_TR_1_x_178nt,ON872677.1,100.0,478,0,0,57,534,534,57,0.0,883.0,megablast,ncbi_x3,534,near-full,1.0,534,KA27
40,KA27_CL204_TR_1_x_178nt,ON872686.1,94.896,529,24,3,1,526,529,1,0.0,824.0,megablast,ncbi_x3,534,near-full,1.0,534,KA27
41,KA27_CL209_TR_1_x_44nt,BSCL184-1,96.875,32,1,0,3,34,32,1,5.96e-11,54.5,blastn,ref,44,partial,0.7272727272727273,32,KA27
42,KA27_CL209_TR_1_x_44nt,BSCL184-2,95.455,22,1,0,1,22,27,6,1.6e-05,36.5,blastn,ref,44,partial,0.5,22,KA27
43,KA27_CL209_TR_1_x_44nt,KA25_CL199_TR_1_x_44nt,92.437,119,9,0,1,119,119,1,8.99e-45,171.0,megablast,local_x3,132,near-full,1.0,132,KA27
44,KA27_CL209_TR_1_x_44nt,KK1_CL168_TR_1_x_44nt,100.0,127,0,0,1,127,6,132,3.14e-64,235.0,megablast,local_x3,132,near-full,1.0,132,KA27
