,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,task,db,qlength,fitting,sum_coverage,sum_lengths,source
0,SB1_CL46_TR_1_x_5662nt,SB6_CL98_TR_1_x_4568nt,71.053,114,33,0,13549,13662,2658,2545,2.46e-07,57.2,blastn,local_x3,16986,partial,0.020134228187919462,342,SB1
1,SB1_CL46_TR_1_x_5662nt,SB6_CL67_TR_1_x_4740nt,79.032,62,13,0,4598,4659,4114,4175,3e-06,53.6,dc-megablast,local_x3,16986,partial,0.01095019427764041,186,SB1
2,SB1_CL46_TR_1_x_5662nt,SB6_CL52_TR_1_x_4424nt,72.152,158,38,2,3591,3748,287,438,1.77e-15,84.2,dc-megablast,local_x3,16986,partial,0.027905333804309432,474,SB1
3,SB1_CL46_TR_1_x_5662nt,SB6_CL42_TR_1_x_5022nt,79.661,59,12,0,3679,3737,3393,3451,3e-06,53.6,dc-megablast,local_x3,16986,partial,0.010420346167432003,177,SB1
4,SB1_CL46_TR_1_x_5662nt,SB6_CL34_TR_1_x_5208nt,68.987,158,44,4,3579,3735,3525,3678,1.05e-05,51.8,dc-megablast,local_x3,16986,partial,0.027728717767573297,471,SB1
5,SB1_CL46_TR_1_x_5662nt,SB6_CL113_TR_1_x_4563nt,67.943,209,51,5,15002,15202,3846,3646,1.36e-10,68.0,dc-megablast,local_x3,16986,partial,0.035499823383963264,603,SB1
6,SB1_CL46_TR_1_x_5662nt,SB5_CL70_TR_1_x_4748nt,85.714,42,6,0,15942,15983,385,344,3.65e-05,50.0,dc-megablast,local_x3,16986,partial,0.007417873542917697,126,SB1
7,SB1_CL46_TR_1_x_5662nt,SB5_CL58_TR_1_x_4424nt,72.152,158,38,2,3591,3748,2999,3150,1.77e-15,84.2,dc-megablast,local_x3,16986,partial,0.027905333804309432,474,SB1
8,SB1_CL46_TR_1_x_5662nt,SB5_CL45_TR_1_x_5208nt,68.987,158,44,4,14903,15059,1608,1455,1.05e-05,51.8,dc-megablast,local_x3,16986,partial,0.027728717767573297,471,SB1
9,SB1_CL46_TR_1_x_5662nt,SB5_CL116_TR_1_x_4343nt,71.053,114,33,0,13549,13662,298,185,2.46e-07,57.2,blastn,local_x3,16986,partial,0.020134228187919462,342,SB1
10,SB1_CL48_TR_1_x_4893nt,SB1_CL138_TR_1_x_4731nt,72.321,112,26,4,11847,11957,2633,2526,3.16e-05,50.0,blastn,local_x3,14679,partial,0.022685469037400367,333,SB1
11,SB1_CL48_TR_1_x_4893nt,SB2_CL70_TR_1_x_4420nt,69.822,1521,420,20,3112,4608,2835,4340,8.97e-177,619.0,dc-megablast,local_x3,14679,partial,0.562844880441447,8262,SB1
12,SB1_CL48_TR_1_x_4893nt,SB2_CL64_TR_1_x_5186nt,78.873,71,15,0,13183,13253,2067,1997,1.75e-08,60.8,blastn,local_x3,14679,partial,0.014510525240138974,213,SB1
13,SB1_CL48_TR_1_x_4893nt,SB2_CL47_TR_1_x_4887nt,99.795,14662,18,2,1,14662,14650,1,0.0,26899.0,megablast,local_x3,14679,near-full,0.9995231282784931,14672,SB1
