,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,task,db,qlength,fitting,sum_coverage,sum_lengths,source
0,KA25_CL94_TR_1_x_5486nt,HM991354.1,90.045,221,22,0,12090,12310,444,224,2.18e-75,287.0,megablast,ncbi_x3,16458,partial,0.04010207801676996,660,KA25
1,KA25_CL94_TR_1_x_5486nt,GQ484974.1,90.654,107,9,1,1,106,779,885,1.0500000000000001e-32,145.0,blastn,ncbi_x3,16458,partial,0.006440636772390327,106,KA25
2,KA25_CL94_TR_1_x_5486nt,FK827961.1,95.498,422,18,1,14789,15210,833,413,0.0,673.0,megablast,ncbi_x3,16458,partial,0.07692307692307693,1266,KA25
3,KA25_CL94_TR_1_x_5486nt,D90697.1,90.984,244,22,0,12758,13001,486,243,3.57e-88,329.0,megablast,ncbi_x3,16458,partial,0.04429456799125046,729,KA25
4,KA25_CL94_TR_1_x_5486nt,JN135336.1,90.182,275,27,0,12744,13018,829,555,4.5600000000000004e-97,359.0,megablast,ncbi_x3,16458,partial,0.05012759752096245,825,KA25
5,KA25_CL94_TR_1_x_5486nt,D90678.1,93.443,244,16,0,12758,13001,486,243,3.52e-98,363.0,megablast,ncbi_x3,16458,partial,0.04429456799125046,729,KA25
6,KA25_CL94_TR_1_x_5486nt,D90674.1,94.672,244,12,1,12758,13001,484,242,1.26e-102,377.0,megablast,ncbi_x3,16458,partial,0.04429456799125046,729,KA25
7,KA25_CL94_TR_1_x_5486nt,D90662.1,90.984,244,22,0,12758,13001,486,243,3.57e-88,329.0,megablast,ncbi_x3,16458,partial,0.04429456799125046,729,KA25
8,KA25_CL94_TR_1_x_5486nt,D90618.1,93.033,244,16,1,12758,13001,484,242,5.9e-96,355.0,megablast,ncbi_x3,16458,partial,0.04429456799125046,729,KA25
9,KA25_CL94_TR_1_x_5486nt,D90610.1,92.213,244,19,0,12758,13001,486,243,3.55e-93,346.0,megablast,ncbi_x3,16458,partial,0.04429456799125046,729,KA25
10,KA25_CL94_TR_1_x_5486nt,AY221465.1,90.868,219,17,3,12758,12973,434,216,1.69e-76,291.0,megablast,ncbi_x3,16458,partial,0.03937294932555596,648,KA25
11,KA25_CL94_TR_1_x_5486nt,AF120167.1,93.258,89,5,1,15015,15102,101,13,3.89e-28,130.0,megablast,ncbi_x3,16458,partial,0.016040831206707983,264,KA25
12,KA25_CL94_TR_1_x_5486nt,D90676.1,92.149,242,18,1,12759,12999,243,2,1.65e-91,340.0,megablast,ncbi_x3,16458,partial,0.04393000364564346,723,KA25
13,KA25_CL94_TR_1_x_5486nt,JN135337.1,91.135,282,24,1,12738,13018,282,1,9.73e-104,381.0,megablast,ncbi_x3,16458,partial,0.05122129055778345,843,KA25
14,KA25_CL97_TR_1_x_337nt,AB003243.1,92.891,211,15,0,634,844,214,4,1.01e-82,307.0,megablast,ncbi_x3,1011,partial,0.5816023738872403,588,KA25
15,KA25_CL97_TR_1_x_337nt,AB003242.1,93.519,216,13,1,634,848,430,215,1.29e-86,320.0,megablast,ncbi_x3,1011,partial,0.5964391691394659,603,KA25
16,KA25_CL97_TR_1_x_337nt,AB003241.1,90.909,220,18,2,634,851,430,211,7.830000000000001e-79,294.0,megablast,ncbi_x3,1011,partial,0.5934718100890207,600,KA25
17,KA25_CL97_TR_1_x_337nt,AB003236.1,90.805,174,15,1,2,174,388,215,6.23e-60,231.0,megablast,ncbi_x3,1011,partial,0.17012858555885263,172,KA25
18,KA25_CL97_TR_1_x_337nt,AB003235.1,92.093,215,17,0,634,848,428,214,1.3e-81,303.0,megablast,ncbi_x3,1011,partial,0.5905044510385756,597,KA25
19,KA25_CL97_TR_1_x_337nt,AB003234.1,90.233,215,21,0,634,848,428,214,6.1e-75,281.0,megablast,ncbi_x3,1011,partial,0.5934718100890207,600,KA25
20,KA25_CL94_TR_1_x_5486nt,JN135338.1,90.78,282,25,1,12738,13018,282,1,4.53e-102,375.0,megablast,ncbi_x3,16458,partial,0.05122129055778345,843,KA25
21,KA25_CL97_TR_1_x_337nt,AB003233.1,91.163,215,18,1,634,848,426,213,1.01e-77,291.0,megablast,ncbi_x3,1011,partial,0.5944609297725024,601,KA25
22,KA25_CL97_TR_1_x_337nt,AB003231.1,90.23,174,17,0,1,174,386,213,8.06e-59,228.0,megablast,ncbi_x3,1011,partial,0.17111770524233433,173,KA25
