,short,full
0,AB003226.1,AB003226.1 Secale cereale DNA tandem repetitive...
1,AB003227.1,AB003227.1 Secale cereale DNA tandem repetitive...
2,AB003228.1,AB003228.1 Secale cereale DNA tandem repetitive...
3,AB003229.1,AB003229.1 Secale cereale DNA tandem repetitive...
4,AB003230.1,AB003230.1 Aegilops comosa DNA tandem repetitive...
5,AB003231.1,AB003231.1 Aegilops comosa DNA tandem repetitive...
6,AB003232.1,AB003232.1 Aegilops comosa DNA tandem repetitive...
7,AB003233.1,AB003233.1 Aegilops comosa DNA tandem repetitive...
8,AB003234.1,AB003234.1 Aegilops comosa DNA tandem repetitive...
9,AB003235.1,AB003235.1 Triticum turgidum subsp. durum DNA...
10,AB003236.1,AB003236.1 Triticum turgidum subsp. durum DNA...
11,AB003237.1,AB003237.1 Triticum turgidum subsp. durum DNA...
12,AB003238.1,AB003238.1 Triticum turgidum subsp. durum DNA...
13,AB003239.1,AB003239.1 Triticum turgidum subsp. durum DNA...
14,AB003240.1,AB003240.1 Aegilops speltoides DNA tandem repetitive...
15,AB003241.1,AB003241.1 Aegilops speltoides DNA tandem repetitive...
16,AB003242.1,AB003242.1 Aegilops speltoides DNA tandem repetitive...
17,AB003243.1,AB003243.1 Aegilops speltoides DNA tandem repetitive...
18,AB003244.1,AB003244.1 Aegilops speltoides DNA tandem repetitive...
19,AB003245.1,AB003245.1 Triticum aestivum DNA tandem repetitive...
20,AB003246.1,AB003246.1 Triticum aestivum DNA tandem repetitive...
21,AB003247.1,AB003247.1 Triticum aestivum DNA tandem repetitive...
22,AB003248.1,AB003248.1 Triticum aestivum DNA tandem repetitive...
23,AB003249.1,AB003249.1 Triticum aestivum DNA tandem repetitive...
24,AB003250.1,AB003250.1 Triticum aestivum DNA tandem repetitive...
25,AB003251.1,AB003251.1 Hordeum vulgare DNA tandem repetitive...
26,AB003252.1,AB003252.1 Hordeum vulgare DNA tandem repetitive...
27,AB003253.1,AB003253.1 Hordeum vulgare DNA tandem repetitive...
28,AB003254.1,AB003254.1 Hordeum vulgare DNA tandem repetitive...
29,AB003255.1,AB003255.1 Aegilops triuncialis var. triuncialis DNA...
30,AB003256.1,AB003256.1 Aegilops triuncialis var. triuncialis DNA...
31,AB003257.1,AB003257.1 Aegilops triuncialis var. triuncialis DNA...
32,AB003258.1,AB003258.1 Aegilops triuncialis var. triuncialis DNA...
33,AB003259.1,AB003259.1 Triticum urartu DNA tandem repetitive...
34,AB003260.1,AB003260.1 Triticum urartu DNA tandem repetitive...
35,AB003261.1,AB003261.1 Triticum urartu DNA tandem repetitive...
36,AB003262.1,AB003262.1 Triticum urartu DNA tandem repetitive...
37,AB003263.1,AB003263.1 Triticum urartu DNA tandem repetitive...
38,AB003264.1,AB003264.1 Triticum urartu DNA tandem repetitive...
39,AB003692.1,AB003692.1 Elymus trachycaulus DNA species specific...
40,AB008772.1,AB008772.1 Triticum aestivum retrotransposon Tar1 DNA...
41,AB008922.1,AB008922.1 Secale cereale DNA tandem repetitive...
42,AB008923.1,AB008923.1 Secale cereale gene repeat sequence...
43,AB008924.1,AB008924.1 Secale cereale gene repeat sequence...
44,AB008925.1,AB008925.1 Secale cereale gene repeat sequence...
45,AB012296.1,AB012296.1 Triticum aestivum non-LTR retrotransposon Tar2...
46,AB014746.1,AB014746.1 Hordeum vulgare gypsy-type retrotransposon BARE101...
47,AB014747.1,AB014747.1 Triticum aestivum gypsy-type retrotransposon WHRE1...
48,AB014756.1,AB014756.1 Hordeum vulgare insertion sequence in...
49,AB016116.1,AB016116.1 Triticum aestivum LINE retrotransposon DNA...
50,AB016117.1,AB016117.1 Triticum aestivum LINE retrotransposon DNA...
51,AB016118.1,AB016118.1 Triticum aestivum LINE retrotransposon DNA...
52,AB016119.1,AB016119.1 Hordeum vulgare LINE retrotransposon DNA...
53,AB016120.1,AB016120.1 Hordeum vulgare LINE retrotransposon DNA...
54,AB016121.1,AB016121.1 Hordeum vulgare LINE retrotransposon DNA...
55,AB016967.1,AB016967.1 Leymus racemosus DNA repeat sequence...
56,AB016968.1,AB016968.1 Leymus racemosus DNA repeat sequence...
57,AB016969.1,AB016969.1 Leymus racemosus DNA repeat sequence...
58,AB016970.1,AB016970.1 Leymus racemosus DNA repeat sequence...
59,AB016971.1,AB016971.1 Leymus racemosus DNA repeat sequence...
60,AB016972.1,AB016972.1 Leymus racemosus DNA repeat sequence...
61,AB016973.1,AB016973.1 Leymus racemosus DNA repeat sequence...
62,AB022723.1,AB022723.1 Psathyrostachys juncea DNA tandem repetitive...
63,AB022724.1,AB022724.1 Psathyrostachys juncea DNA tandem repetitive...
64,AB022725.1,AB022725.1 Psathyrostachys juncea DNA tandem repetitive...
65,AB022726.1,AB022726.1 Leymus racemosus DNA tandem repetitive...
66,AB022727.1,AB022727.1 Leymus racemosus DNA tandem repetitive...
67,AB022728.1,AB022728.1 Leymus racemosus DNA tandem repetitive...
68,AB022729.1,AB022729.1 Leymus racemosus DNA tandem repetitive...
69,AB022730.1,AB022730.1 Leymus racemosus DNA tandem repetitive...
70,AB022731.1,AB022731.1 Leymus racemosus DNA tandem repetitive...
71,AB033254.1,AB033254.1 Triticum aestivum gypsy-type retrotransposon WHRE2...
72,AB033255.1,AB033255.1 Triticum aestivum gypsy-type retrotransposon WHRE6...
73,AB033256.1,AB033256.1 Triticum aestivum gypsy-type retrotransposon WHRE8...
74,AB033257.1,AB033257.1 Hordeum vulgare gypsy-type retrotransposon BARE103...
75,AB033258.1,AB033258.1 Hordeum vulgare gypsy-type retrotransposon BARE107...
76,AB037168.1,AB037168.1 Triticum aestivum DNA repeat sequence...
77,AB037169.1,AB037169.1 Triticum aestivum DNA repeat sequence...
78,AB037170.1,AB037170.1 Triticum aestivum DNA repeat sequence...
79,AB037171.1,AB037171.1 Triticum aestivum DNA repeat sequence...
80,AB037173.1,AB037173.1 Triticum aestivum DNA repeat sequence...
81,AB037174.1,AB037174.1 Triticum aestivum DNA repeat sequence...
82,AB046134.1,AB046134.1 Aegilops umbellulata DNA retrotransposon Au...
83,AB046135.1,AB046135.1 Triticum aestivum DNA retrotransposon Au...
84,AB046136.1,AB046136.1 Triticum aestivum DNA retrotransposon Au...
85,AB046137.1,AB046137.1 Triticum aestivum DNA retrotransposon Au...
86,AB046138.1,AB046138.1 Triticum aestivum DNA retrotransposon Au...
87,AB046139.1,AB046139.1 Triticum aestivum DNA retrotransposon Au...
88,AB046140.1,AB046140.1 Triticum aestivum DNA retrotransposon Au...
89,AB046141.1,AB046141.1 Triticum aestivum DNA retrotransposon Au...
90,AB046142.1,AB046142.1 Secale cereale DNA retrotransposon Au...
91,AB046143.1,AB046143.1 Secale cereale DNA retrotransposon Au...
92,AB046144.1,AB046144.1 Secale cereale DNA retrotransposon Au...
93,AB046145.1,AB046145.1 Secale cereale DNA retrotransposon Au...
94,AB046146.1,AB046146.1 Secale cereale DNA retrotransposon Au...
95,AB046147.1,AB046147.1 Secale cereale DNA retrotransposon Au...
96,AB046148.1,AB046148.1 Secale cereale DNA retrotransposon Au...
97,AB046149.1,AB046149.1 Secale cereale DNA retrotransposon Au...
98,AB046150.1,AB046150.1 Secale cereale DNA retrotransposon Au...
99,AB046151.1,AB046151.1 Hordeum vulgare DNA retrotransposon Au...
100,AB046152.1,AB046152.1 Hordeum vulgare DNA retrotransposon Au...
101,AB046153.1,AB046153.1 Hordeum vulgare DNA retrotransposon Au...
102,AB046154.1,AB046154.1 Hordeum vulgare DNA retrotransposon Au...
103,AB046155.1,AB046155.1 Hordeum vulgare DNA retrotransposon Au...
104,AB046156.1,AB046156.1 Hordeum vulgare DNA retrotransposon Au...
105,AB046157.1,AB046157.1 Hordeum vulgare DNA retrotransposon Au...
106,AB048243.1,AB048243.1 Aegilops tauschii integrase-like gene centromeric...
107,AB048244.1,AB048244.1 Aegilops tauschii CCS1-R11H-1 gene repeat...
108,AB048245.1,AB048245.1 Aegilops tauschii CCS1-R11H-2 gene repeat...
109,AB052104.1,AB052104.1 Triticum monococcum transposon Ty3/gypsy DNA...
110,AB061329.1,AB061329.1 Triticum aestivum Ty1-copia retrotransposon OARE-1...
111,AB074439.1,AB074439.1 Haynaldia villosa repeat region clone:pDv24...
112,AB074440.1,AB074440.1 Haynaldia villosa repeat region clone:pDv27...
113,AB074441.1,AB074441.1 Haynaldia villosa repeat region clone:pDv40...
114,AB074442.1,AB074442.1 Haynaldia villosa repeat region clone:pDv19...
115,AB077234.1,AB077234.1 Triticum aestivum DNA TaiI-family tandem...
116,AB077235.1,AB077235.1 Triticum aestivum DNA TaiI-family tandem...
117,AB077236.1,AB077236.1 Triticum aestivum DNA TaiI-family tandem...
118,AB077237.1,AB077237.1 Triticum aestivum DNA TaiI-family tandem...
119,AB077238.1,AB077238.1 Triticum aestivum DNA TaiI-family tandem...
120,AB077239.1,AB077239.1 Triticum aestivum DNA TaiI-family tandem...
121,AB077240.1,AB077240.1 Triticum aestivum DNA TaiI-family tandem...
122,AB077241.1,AB077241.1 Triticum aestivum DNA TaiI-family tandem...
123,AB077242.1,AB077242.1 Triticum aestivum DNA TaiI-family tandem...
124,AB077243.1,AB077243.1 Secale cereale DNA TaiI-family tandem...
125,AB077244.1,AB077244.1 Secale cereale DNA TaiI-family tandem...
126,AB077245.1,AB077245.1 Secale cereale DNA TaiI-family tandem...
127,AB077246.1,AB077246.1 Secale cereale DNA TaiI-family tandem...
128,AB077247.1,AB077247.1 Secale cereale DNA TaiI-family tandem...
129,AB077248.1,AB077248.1 Secale strictum subsp. africanum DNA...
130,AB077249.1,AB077249.1 Psathyrostachys juncea DNA TaiI-family tandem...
131,AB077250.1,AB077250.1 Psathyrostachys juncea DNA TaiI-family tandem...
132,AB077251.1,AB077251.1 Triticum urartu DNA TaiI-family tandem...
133,AB077252.1,AB077252.1 Triticum urartu DNA TaiI-family tandem...
134,AB077253.1,AB077253.1 Triticum urartu DNA TaiI-family tandem...
135,AB077254.1,AB077254.1 Triticum monococcum DNA TaiI-family tandem...
136,AB077255.1,AB077255.1 Triticum monococcum DNA TaiI-family tandem...
137,AB077256.1,AB077256.1 Aegilops speltoides DNA TaiI-family tandem...
138,AB077257.1,AB077257.1 Aegilops speltoides DNA TaiI-family tandem...
139,AB077258.1,AB077258.1 Aegilops speltoides DNA TaiI-family tandem...
140,AB077259.1,AB077259.1 Aegilops speltoides DNA TaiI-family tandem...
141,AB077260.1,AB077260.1 Aegilops speltoides DNA TaiI-family tandem...
142,AB077261.1,AB077261.1 Aegilops tauschii DNA TaiI-family tandem...
143,AB077262.1,AB077262.1 Aegilops tauschii DNA TaiI-family tandem...
144,AB077263.1,AB077263.1 Aegilops tauschii DNA TaiI-family tandem...
145,AB077264.1,AB077264.1 Aegilops longissima DNA TaiI-family tandem...
